File,True positives,False positives,False negatives,Precision,Recall
'bg_food_stain.jpg',22.0,64.0,312.0,0.2558139534883721,0.0658682634730539
'how-to-get-blood-out-of-the-carpet.WidePlayer.jpg',9.0,0.0,17.0,1.0,0.34615384615384615
'2013-03-12 16.44.49.jpg',1.0,40.0,9.0,0.024390243902439025,0.1
'2013-03-27 19.20.07.jpg',4.0,51.0,18.0,0.07272727272727272,0.18181818181818182
'011.jpg',107.0,163.0,113.0,0.3962962962962963,0.4863636363636364
'2013-03-12 16.41.04.jpg',3.0,20.0,11.0,0.13043478260869565,0.21428571428571427
'Grape-KoolAid-Carpet-Stain.jpg',51.0,5.0,27.0,0.9107142857142857,0.6538461538461539
'oil-stain.JPG',31.0,94.0,39.0,0.248,0.44285714285714284
'cherry stain.JPG',1.0,125.0,19.0,0.007936507936507936,0.05
'2013-03-27 19.20.22.jpg',1.0,76.0,55.0,0.012987012987012988,0.017857142857142856
'red-wine.jpg',19.0,1.0,59.0,0.95,0.24358974358974358
'2013-03-27 00.24.39.jpg',5.0,111.0,13.0,0.04310344827586207,0.2777777777777778
'2013-03-12 16.42.59.jpg',2.0,19.0,2.0,0.09523809523809523,0.5
'2013-03-27 19.20.16.jpg',2.0,39.0,63.0,0.04878048780487805,0.03076923076923077
'2013-03-05 17.01.45.jpg',13.0,209.0,14.0,0.05855855855855856,0.48148148148148145
'2013-03-12 16.45.15.jpg',7.0,216.0,5.0,0.03139013452914798,0.5833333333333334
'red.jpg',2.0,22.0,32.0,0.08333333333333333,0.058823529411764705
'2013-03-12 16.42.01.jpg',0.0,28.0,2.0,0.0,0.0
'2013-03-12 16.44.32.jpg',0.0,89.0,47.0,0.0,0.0
'coffee-stain-477x315.jpg',45.0,7.0,85.0,0.8653846153846154,0.34615384615384615
'blood-stain-land_camera.jpg',1.0,79.0,131.0,0.0125,0.007575757575757576
'2013-03-12 16.42.30.jpg',3.0,20.0,11.0,0.13043478260869565,0.21428571428571427
'Carpet Stain.jpg',15.0,0.0,28.0,1.0,0.3488372093023256
